ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,Cluster
1941,Edukasi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju,0
1942,Komik,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,0
1943,Edukasi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Netral,Tidak Setuju,4
1944,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Lifestyle,edukasi,Tidak Setuju,Netral,Tidak Setuju,Setuju,0
1945,Alat Seni,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
1946,Alat Seni,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Netral,2
1947,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
1948,Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,Alat Seni,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,1
1949,Buku Non-Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
1950,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Literasi,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,0
1951,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,4
1952,Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah,Lifestyle,Self Wear,Netral,Netral,Sangat Setuju,Netral,4
1953,Alat Kantor/Sekolah,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Setuju,Netral,0
1954,Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Setuju,1
1955,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Setuju,0
1956,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Sangat Setuju,Netral,Tidak Setuju,Tidak Setuju,4
1957,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Tidak Setuju,Netral,Setuju,Sangat Setuju,3
1958,Buku Anak,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,Daily needs,Setuju,Tidak Setuju,Sangat Setuju,Setuju,1
1959,Sport & mainanan,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,1
1960,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,3
1961,Alat Seni,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,2
1962,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Literasi,edukasi,Netral,Tidak Setuju,Sangat Setuju,Netral,0
1963,Novel Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Literasi,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,1
1964,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,edukasi,Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju,0
1965,Komik,Toko Gramedia,Hiburan atau relaksasi,Literasi,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,1
1966,Alat Seni,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,2
1967,Alat Kantor/Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Netral,3
1968,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Seni,edukasi,Sangat Tidak Setuju,Netral,Netral,Tidak Setuju,4
1969,Alat Seni,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Setuju,1
1970,Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Literasi,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju,1
1971,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,edukasi,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,4
1972,Komik,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
1973,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,4
1974,Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju,0
1975,Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju,4
1976,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju,3
1977,Komik,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs,Netral,Setuju,Sangat Setuju,Sangat Setuju,1
1978,Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Literasi,edukasi,Sangat Tidak Setuju,Setuju,Netral,Setuju,1
1979,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,edukasi,Setuju,Sangat Setuju,Setuju,Netral,2
1980,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Netral,Tidak Setuju,Setuju,Tidak Setuju,4
1981,Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Setuju,1
1982,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Tidak Setuju,Setuju,Netral,Tidak Setuju,0
1983,Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,Literasi,edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,0
1984,Alat Kantor/Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,0
1985,Edukasi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs,Setuju,Setuju,Netral,Sangat Setuju,1
1986,Alat Seni,Toko alat tulis lainnya,Kado atau hadiah,Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,0
1987,Edukasi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Setuju,1
1988,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,Self Wear,Netral,Setuju,Netral,Setuju,1
1989,Alat Kantor/Sekolah,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju,0
1990,Alat Seni,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,0
1991,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Sangat Tidak Setuju,Tidak Setuju,Setuju,Netral,3
1992,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Seni,edukasi,Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju,3
1993,Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,0
1994,Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,1
1995,Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Lifestyle,edukasi,Netral,Netral,Sangat Tidak Setuju,Tidak Setuju,4
1996,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Lifestyle,Alat Seni,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju,0
1997,Buku Anak,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Netral,Netral,Sangat Setuju,Sangat Tidak Setuju,0
1998,Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Alat Seni,Netral,Sangat Setuju,Setuju,Tidak Setuju,4
1999,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju,1
2000,Edukasi,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju,1
2001,Komik,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju,2
2002,Alat Seni,Toko alat tulis lainnya,Menambah pengetahuan,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju,2
2003,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,0
2004,Edukasi,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju,4
2005,Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
2006,Komik,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
2007,Alat Seni,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,4
2008,Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear,Setuju,Sangat Setuju,Setuju,Tidak Setuju,3
2009,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,0
2010,Edukasi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Setuju,Netral,Netral,Sangat Tidak Setuju,0
2011,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Seni,Self Wear,Sangat Tidak Setuju,Netral,Sangat Setuju,Setuju,1
2012,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Setuju,Tidak Setuju,Netral,Netral,0
2013,Buku Anak,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,edukasi,Tidak Setuju,Setuju,Setuju,Tidak Setuju,4
2014,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,3
2015,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,1
2016,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,2
2017,Buku Anak,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,0
2018,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Self Wear,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
2019,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Lifestyle,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Setuju,Netral,1
2020,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Literasi,Alat Seni,Sangat Tidak Setuju,Setuju,Netral,Netral,1
2021,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju,0
2022,Alat Seni,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju,4
2023,Alat Seni,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Sangat Setuju,Setuju,Tidak Setuju,Sangat Setuju,1
2024,Alat Kantor/Sekolah,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Alat Seni,Netral,Sangat Setuju,Setuju,Netral,3
2025,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Setuju,Setuju,Tidak Setuju,Sangat Setuju,1
2026,Buku Anak,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Setuju,Tidak Setuju,Netral,Tidak Setuju,1
2027,Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Lifestyle,Self Wear,Netral,Setuju,Netral,Tidak Setuju,1
2028,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju,4
2029,Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Lifestyle,edukasi,Sangat Setuju,Setuju,Sangat Setuju,Setuju,1
2030,Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,2
2031,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Netral,Setuju,Sangat Tidak Setuju,Tidak Setuju,1
2032,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Setuju,Tidak Setuju,2
2033,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,2
2034,Edukasi,Website Gramedia.com,Hiburan atau relaksasi,Literasi,edukasi,Tidak Setuju,Netral,Sangat Setuju,Netral,4
2035,Komik,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju,0
2036,Sport & mainanan,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Setuju,Netral,1
2037,Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju,0
2038,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Alat Seni,Tidak Setuju,Netral,Setuju,Setuju,0
2039,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral,0
2040,Edukasi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju,3
2041,Edukasi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
2042,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,2
2043,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju,0
2044,Alat Seni,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Literasi,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
2045,Buku Non-Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Alat Seni,Sangat Setuju,Netral,Tidak Setuju,Setuju,1
2046,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
2047,Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Netral,3
2048,Buku Non-Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,Daily needs,Tidak Setuju,Netral,Setuju,Netral,2
2049,Edukasi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Tidak Setuju,Setuju,Netral,2
2050,Komik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,2
2051,Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Literasi,edukasi,Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju,0
2052,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral,0
2053,Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju,2
2054,Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Netral,Sangat Tidak Setuju,Setuju,Setuju,1
2055,Alat Seni,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Netral,Netral,2
2056,Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Setuju,1
2057,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Tidak Setuju,Setuju,Netral,Setuju,1
2058,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju,0
2059,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju,0
2060,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,0
2061,Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Seni,edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,3
2062,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
2063,Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,Literasi,edukasi,Setuju,Setuju,Netral,Sangat Tidak Setuju,0
2064,Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,1
2065,Edukasi,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
2066,Novel Fiksi,Toko alat tulis lainnya,Menambah pengetahuan,Seni,edukasi,Setuju,Setuju,Setuju,Setuju,1
2067,Edukasi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju,1
2068,Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Sangat Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju,3
2069,Alat Kantor/Sekolah,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju,0
2070,Alat Seni,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,2
2071,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Netral,Netral,0
2072,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Seni,Alat Seni,Sangat Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,0
2073,Komik,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,Alat Seni,Sangat Setuju,Setuju,Netral,Setuju,1
2074,Alat Seni,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju,2
2075,Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Seni,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,0
2076,Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,3
2077,Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju,0
2078,Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi,Lifestyle,Alat Seni,Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
2079,Komik,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Literasi,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,0
2080,Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
2081,Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Seni,Alat Seni,Sangat Setuju,Setuju,Netral,Netral,1
2082,Komik,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Alat Seni,Sangat Setuju,Netral,Netral,Sangat Setuju,4
2083,Edukasi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
2084,Buku Non-Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Netral,2
2085,Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,1
2086,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Setuju,Netral,2
2087,Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Literasi,edukasi,Tidak Setuju,Setuju,Netral,Netral,0
