Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"Alat Musik;Buku Anak;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Alat Olahraga;Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah,Kesehatan dan Kecantikan;Mainan,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,0
Alat Musik,Website Gramedia.com,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Belanja online/offline;Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Tidak Setuju,Setuju,Sangat Tidak Setuju,Setuju,5
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis",Toko buku independen lainnya,Menambah pengetahuan,"Belanja online/offline;Menulis (diari, blog, atau lainnya);Olahraga",Kesehatan dan Kecantikan;Mainan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,1
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan;Mainan",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Jurnal/Perencana (Planner);Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,Travelling,"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
"Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi;Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,3
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online);Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju,2
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi;Olahraga,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Setuju,Setuju,Sangat Setuju,1
Alat Musik;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Belanja online/offline;Menghadiri acara budaya atau edukasi;Travelling,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Setuju,4
Alat Musik;Alat Olahraga;Komik/Novel Grafis,Toko Gramedia,Kado atau hadiah,Melukis atau menggambar,"Alat Musik & kesenian;Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju,0
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,1
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online);Melukis atau menggambar;Olahraga,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral,4
Buku Anak,Toko alat tulis lainnya,Menambah pengetahuan,Belanja online/offline,Alat Olahraga,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,2
Alat Musik;Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Alat Olahraga,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju,1
Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner);Novel Fiksi,Aplikasi Gramedia.com,Kado atau hadiah;Untuk mengekspresikan kreativitas,Belanja online/offline;Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,1
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Melukis atau menggambar,Alat Olahraga;Mainan,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Alat Musik;Jurnal/Perencana (Planner),Toko alat tulis lainnya,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Belanja online/offline;Bermain musik;Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Komik/Novel Grafis;Mainan/Collectible item,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Belanja online/offline;Membaca buku atau majalah;Travelling,Alat Musik & kesenian;Kesehatan dan Kecantikan,Sangat Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju,1
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Seni/Kreatif",Toko Gramedia,Kado atau hadiah,Belanja online/offline;Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral,5
Alat Olahraga;Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
Mainan/Collectible item;Novel Fiksi,Toko Gramedia,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik;Travelling,Alat Tulis kantor atau sekolah,Setuju,Setuju,Setuju,Tidak Setuju,2
Alat Olahraga;Mainan/Collectible item;Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,"Bermain musik;Menulis (diari, blog, atau lainnya);Olahraga","Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Sangat Tidak Setuju,Setuju,Tidak Setuju,Setuju,3
Buku Anak;Komik/Novel Grafis;Mainan/Collectible item,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah,Melukis atau menggambar;Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak);Mainan",Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,1
Alat Musik;Buku Anak;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Belanja online/offline;Travelling,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Netral,Setuju,Netral,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner);Komik/Novel Grafis",Toko buku independen lainnya,Kado atau hadiah,Membaca buku atau majalah,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Alat Musik;Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik;Travelling,Alat Olahraga,Tidak Setuju,Sangat Setuju,Netral,Netral,4
Alat Olahraga;Buku Anak,Toko buku independen lainnya,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Belanja online/offline;Bermain musik;Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Komik/Novel Grafis,Aplikasi Gramedia.com,Hiburan atau relaksasi,Belanja online/offline,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Tidak Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju,2
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Melukis atau menggambar,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak);Mainan",Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Mainan/Collectible item;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik;Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Alat Musik;Buku Anak;Novel Fiksi,Toko Gramedia,"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline;Melukis atau menggambar;Menghadiri acara budaya atau edukasi,Alat Olahraga;Kesehatan dan Kecantikan,Netral,Tidak Setuju,Setuju,Setuju,5
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Menambah pengetahuan,Bermain game (offline/online);Bermain musik;Travelling,Alat Tulis kantor atau sekolah;Mainan,Tidak Setuju,Netral,Tidak Setuju,Setuju,1
Alat Musik;Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Melukis atau menggambar,"Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
Alat Musik;Alat Olahraga,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah;Untuk mengekspresikan kreativitas,Melukis atau menggambar;Menghadiri acara budaya atau edukasi;Travelling,Mainan,Setuju,Sangat Setuju,Netral,Netral,0
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Mainan",Netral,Setuju,Tidak Setuju,Setuju,4
"Buku Anak;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,Alat Olahraga;Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Sangat Setuju,Setuju,2
Alat Musik;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Bermain game (offline/online),Mainan,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner);Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,"Belanja online/offline;Bermain musik;Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik;Melukis atau menggambar;Menghadiri acara budaya atau edukasi,Alat Musik & kesenian;Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,4
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Mainan,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,3
Alat Musik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online);Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral,4
Mainan/Collectible item,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline;Olahraga,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Setuju,Sangat Setuju,5
Perlengkapan Kantor atau Sekolah;Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Belanja online/offline;Membaca buku atau majalah;Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,3
Komik/Novel Grafis,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya);Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral,4
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar;Membaca buku atau majalah;Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Tidak Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju,0
Alat Musik;Mainan/Collectible item;Perlengkapan Seni/Kreatif,Toko Gramedia,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)",Mainan,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju,3
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Netral,Sangat Setuju,0
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online);Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Setuju,Tidak Setuju,Netral,Sangat Setuju,3
Buku Anak;Komik/Novel Grafis;Perlengkapan Seni/Kreatif,Website Gramedia.com,Menambah pengetahuan,Bermain musik;Travelling,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,4
Alat Musik,Aplikasi Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Sangat Setuju,Netral,4
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,5
Komik/Novel Grafis;Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Olahraga,Sangat Tidak Setuju,Netral,Netral,Setuju,1
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju,5
Komik/Novel Grafis;Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Membaca buku atau majalah;Olahraga;Travelling,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Bermain game (offline/online);Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan;Mainan",Tidak Setuju,Setuju,Setuju,Setuju,1
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah,Menghadiri acara budaya atau edukasi;Travelling,"Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Netral,Sangat Setuju,Setuju,1
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Bermain game (offline/online);Olahraga,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Alat Musik;Buku Anak;Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar,"Alat Olahraga;Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Melukis atau menggambar,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Mainan",Netral,Netral,Setuju,Sangat Setuju,1
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi;Olahraga,Alat Olahraga,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,3
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga;Travelling,Alat Olahraga,Setuju,Netral,Tidak Setuju,Tidak Setuju,4
Alat Musik;Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online);Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju,1
"Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar,Kesehatan dan Kecantikan,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,1
Alat Olahraga;Buku Anak;Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Olahraga,Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju,3
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Kado atau hadiah;Menambah pengetahuan,Bermain musik;Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju,5
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,2
Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Bermain game (offline/online);Travelling,Mainan,Sangat Tidak Setuju,Netral,Netral,Tidak Setuju,3
Alat Musik;Komik/Novel Grafis;Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Alat Musik,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral,4
Novel Fiksi,Website Gramedia.com,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,Mainan,Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral,4
Buku Anak;Komik/Novel Grafis,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar;Menulis (diari, blog, atau lainnya);Olahraga",Alat Musik & kesenian;Alat Olahraga;Mainan,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Alat Tulis Umum (Kantor/Sekolah);Komik/Novel Grafis;Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Belanja online/offline;Bermain game (offline/online);Menulis (diari, blog, atau lainnya)",Mainan,Sangat Setuju,Sangat Setuju,Netral,Setuju,1
Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item,Website Gramedia.com,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline;Menulis (diari, blog, atau lainnya);Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral,3
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Melukis atau menggambar;Membaca buku atau majalah,Alat Olahraga,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,1
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain musik;Olahraga;Travelling,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Setuju,Sangat Tidak Setuju,1
Alat Musik;Komik/Novel Grafis;Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline;Bermain musik,Kesehatan dan Kecantikan;Mainan,Tidak Setuju,Setuju,Setuju,Sangat Setuju,3
