Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
Edukasi;Novel Fiksi;Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni;edukasi,Netral,Netral,Sangat Tidak Setuju,Netral,4
Sport & mainanan,Website Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle;Literasi;Seni,Self Wear;edukasi,Setuju,Netral,Setuju,Netral,1
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral,4
Alat Kantor/Sekolah;Alat Seni;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,5
Buku Non-Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Aktivitas Rekreasional;Literasi,Daily needs,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,4
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Menambah pengetahuan,Literasi;Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,0
Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Edukasi,Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi;Seni,Self Wear;edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,5
Alat Kantor/Sekolah;Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs;Self Wear,Tidak Setuju,Setuju,Sangat Tidak Setuju,Setuju,0
Alat Kantor/Sekolah;Alat Seni,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Seni,Alat Seni;Self Wear,Netral,Sangat Setuju,Sangat Setuju,Netral,4
Edukasi,Website Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Aktivitas Rekreasional;Seni,Alat Seni;Daily needs;Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,4
Alat Kantor/Sekolah;Novel Fiksi,Website Gramedia.com,Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle,Alat Seni;edukasi,Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah;Komik,Toko Gramedia,Hiburan atau relaksasi,Lifestyle;Literasi;Seni,Self Wear;edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Alat Seni,Aplikasi Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Lifestyle,edukasi,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju,4
Alat Seni;Novel Fiksi;Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear;edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,5
Alat Kantor/Sekolah;Alat Seni;Buku Non-Fiksi,Aplikasi Gramedia.com,"Kado atau hadiah;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Buku Non-Fiksi;Edukasi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Lifestyle;Literasi,Alat Seni,Tidak Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju,0
Alat Kantor/Sekolah;Buku Anak;Sport & mainanan,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Alat Seni;Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,1
Alat Kantor/Sekolah;Buku Non-Fiksi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Literasi,Daily needs;Self Wear;edukasi,Netral,Tidak Setuju,Netral,Sangat Setuju,3
Alat Kantor/Sekolah;Buku Non-Fiksi;Komik,Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,3
Sport & mainanan,Toko Gramedia,"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle;Literasi;Seni,Daily needs,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,1
Alat Kantor/Sekolah;Buku Non-Fiksi;Sport & mainanan,Aplikasi Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju,0
Alat Kantor/Sekolah;Buku Anak;Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Daily needs;edukasi,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,1
Alat Kantor/Sekolah;Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,Alat Seni;Self Wear,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear;edukasi,Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju,5
Alat Kantor/Sekolah;Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Alat Seni;Buku Anak,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear,Netral,Netral,Sangat Tidak Setuju,Setuju,5
Edukasi;Novel Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,3
Alat Kantor/Sekolah;Buku Anak;Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Self Wear;edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,4
Novel Fiksi;Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Literasi;Seni,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Alat Kantor/Sekolah;Edukasi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Tidak Setuju,Setuju,Tidak Setuju,Netral,0
Buku Anak;Novel Fiksi;Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle,Daily needs;edukasi,Setuju,Setuju,Sangat Setuju,Tidak Setuju,2
Alat Kantor/Sekolah;Buku Anak;Novel Fiksi,Aplikasi Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Seni,Daily needs;edukasi,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju,5
Buku Non-Fiksi;Edukasi,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional;Lifestyle;Seni,Self Wear,Setuju,Netral,Netral,Tidak Setuju,1
Buku Anak;Buku Non-Fiksi;Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah;Menambah pengetahuan,Lifestyle;Literasi,edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,2
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,2
Buku Anak;Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,edukasi,Sangat Setuju,Setuju,Netral,Setuju,0
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional;Lifestyle,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,3
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Literasi;Seni,Self Wear;edukasi,Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju,3
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju,0
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Literasi;Seni,Daily needs;edukasi,Tidak Setuju,Setuju,Sangat Setuju,Setuju,2
Buku Anak;Edukasi,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs;Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Alat Kantor/Sekolah;Edukasi;Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Lifestyle,edukasi,Sangat Setuju,Netral,Setuju,Netral,1
Alat Seni;Buku Non-Fiksi;Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Lifestyle,Alat Seni,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral,4
Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Lifestyle;Seni,Self Wear,Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,3
Alat Kantor/Sekolah,Website Gramedia.com,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Lifestyle;Literasi;Seni,Alat Seni;edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju,3
Alat Seni;Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Setuju,Netral,Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,Toko buku independen lainnya,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Literasi;Seni,Self Wear;edukasi,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju,0
Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle;Seni,Self Wear;edukasi,Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Alat Seni;Buku Anak;Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Literasi,Self Wear;edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Novel Fiksi,Toko Gramedia,"Hiburan atau relaksasi;Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Self Wear,Sangat Setuju,Netral,Setuju,Setuju,1
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional;Literasi,Daily needs;Self Wear,Sangat Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju,3
Alat Kantor/Sekolah;Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral,4
Alat Kantor/Sekolah;Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Alat Seni;Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
Alat Seni,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear,Sangat Setuju,Setuju,Sangat Tidak Setuju,Setuju,1
Alat Kantor/Sekolah;Alat Seni;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Setuju,Setuju,Tidak Setuju,Netral,2
Alat Kantor/Sekolah;Edukasi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju,1
Buku Anak;Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Literasi,edukasi,Sangat Setuju,Netral,Setuju,Netral,1
Alat Seni;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Lifestyle,Alat Seni;Daily needs;edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional;Lifestyle,Self Wear,Netral,Sangat Setuju,Tidak Setuju,Setuju,4
Buku Non-Fiksi,Toko Gramedia,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Literasi;Seni,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
Alat Seni;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi;Seni,Self Wear;edukasi,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju,1
Alat Seni;Buku Anak;Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Lifestyle;Literasi;Seni,Self Wear;edukasi,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Buku Anak;Buku Non-Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Literasi;Seni,Self Wear,Sangat Setuju,Netral,Netral,Setuju,1
Alat Kantor/Sekolah;Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle,Alat Seni;edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Setuju,Setuju,Setuju,Netral,2
Alat Kantor/Sekolah;Komik;Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional;Lifestyle,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,5
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Seni,Daily needs;Self Wear,Sangat Setuju,Tidak Setuju,Netral,Tidak Setuju,0
Edukasi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Alat Kantor/Sekolah;Novel Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Setuju,Setuju,Netral,Sangat Setuju,3
Buku Non-Fiksi;Novel Fiksi;Sport & mainanan,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear,Setuju,Setuju,Netral,Netral,3
Alat Kantor/Sekolah;Buku Non-Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi;Seni,Self Wear,Tidak Setuju,Netral,Setuju,Sangat Setuju,1
Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear;edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,1
Alat Seni;Komik,Toko buku independen lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Literasi,Alat Seni;Daily needs;edukasi,Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,0
Buku Anak;Komik;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Alat Seni,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,4
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Buku Non-Fiksi;Novel Fiksi,Website Gramedia.com,"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Lifestyle,Daily needs,Netral,Netral,Setuju,Netral,4
Alat Kantor/Sekolah;Buku Non-Fiksi;Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Seni,Daily needs;Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral,3
Alat Kantor/Sekolah;Buku Non-Fiksi;Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle;Literasi;Seni,Alat Seni;Self Wear;edukasi,Sangat Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju,2
Alat Seni,Website Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Self Wear,Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju,4
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear,Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Netral,Tidak Setuju,2
Buku Anak,Aplikasi Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan,Aktivitas Rekreasional;Lifestyle;Literasi,edukasi,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Sport & mainanan,Toko Gramedia,Kado atau hadiah,Lifestyle;Literasi,Alat Seni;Daily needs,Tidak Setuju,Tidak Setuju,Netral,Netral,0
Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju,3
Alat Seni;Buku Anak,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Lifestyle;Seni,Daily needs,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,5
Alat Seni;Buku Anak;Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional;Seni,Alat Seni;edukasi,Netral,Sangat Tidak Setuju,Netral,Sangat Setuju,3
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Seni,Alat Seni;Self Wear,Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,0
Alat Seni;Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Lifestyle;Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,3
Alat Seni;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Literasi,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral,3
Buku Anak;Edukasi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Seni,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,3
Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle;Seni,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Tidak Setuju,1
Edukasi;Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni;Daily needs,Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju,1
Buku Non-Fiksi;Edukasi,Toko alat tulis lainnya,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Aktivitas Rekreasional;Literasi,Self Wear,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Alat Seni;Komik,Toko Gramedia,Hiburan atau relaksasi;Kado atau hadiah,Literasi,edukasi,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju,4
Alat Kantor/Sekolah;Buku Anak;Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,2
Novel Fiksi,Toko alat tulis lainnya,"Hiburan atau relaksasi;Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear;edukasi,Netral,Setuju,Setuju,Tidak Setuju,2
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Lifestyle;Seni,edukasi,Sangat Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju,3
Alat Kantor/Sekolah;Buku Anak;Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle;Literasi,Alat Seni;Daily needs;Self Wear,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Lifestyle,Alat Seni;edukasi,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,4
