Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Alat Musik, Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian, Alat Olahraga"
Alat Seni,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Bermain musik","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Literasi,Alat Seni
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Alat Musik & kesenian, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Anak, Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah","Belanja online/offline, Olahraga, Bermain game (offline/online)","Kesehatan dan Kecantikan, Alat Olahraga, Alat Musik & kesenian"
"Jurnal/Perencana (Planner), Alat Olahraga",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Travelling","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
Alat Seni,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Olahraga, Bermain musik","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Belanja online/offline",edukasi
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,"Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Travelling, Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Alat Olahraga"
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Bermain musik","Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Mainan, Kesehatan dan Kecantikan"
Novel Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Bermain game (offline/online), Menghadiri acara budaya atau edukasi",edukasi
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,Daily needs
"Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Bermain game (offline/online)",Daily needs
"Alat Musik, Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear
Alat Kantor/Sekolah,Toko alat tulis lainnya,Kado atau hadiah,"Membaca buku atau majalah , Travelling, Olahraga",Self Wear
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Olahraga, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah","Membaca buku atau majalah , Bermain musik",edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga",edukasi
Komik,Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling, Bermain musik",Self Wear
Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik",edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar , Belanja online/offline, Menulis (diari, blog, atau lainnya)",edukasi
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,"Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi",Self Wear
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Travelling, Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,"Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi
"Mainan/Collectible item, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Membaca buku atau majalah",Daily needs
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Mainan/Collectible item, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar",edukasi
"Buku Anak, Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Travelling, Menghadiri acara budaya atau edukasi",Self Wear
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Menghadiri acara budaya atau edukasi, Melukis atau menggambar","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Seni,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Mainan, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Belanja online/offline","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain musik, Bermain game (offline/online), Travelling",edukasi
"Perlengkapan Seni/Kreatif, Novel Fiksi, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah , Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Membaca buku atau majalah","Alat Musik & kesenian, Mainan"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Menulis (diari, blog, atau lainnya), Travelling","Kesehatan dan Kecantikan, Alat Musik & kesenian"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Olahraga",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Bermain game (offline/online), Bermain musik","Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline",Self Wear
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Hiburan atau relaksasi,"Membaca buku atau majalah , Olahraga, Bermain game (offline/online)","Mainan, Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Belanja online/offline",edukasi
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Melukis atau menggambar","Alat Tulis kantor atau sekolah, Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Alat Musik",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Mainan"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Daily needs
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Membaca buku atau majalah , Olahraga","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
Alat Seni,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Melukis atau menggambar , Membaca buku atau majalah","Mainan, Alat Olahraga"
"Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain game (offline/online), Membaca buku atau majalah , Melukis atau menggambar",Alat Seni
"Alat Olahraga, Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Melukis atau menggambar","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Melukis atau menggambar","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear
Sport & mainanan,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Membaca buku atau majalah","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Melukis atau menggambar , Bermain game (offline/online)","Alat Musik & kesenian, Mainan"
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Melukis atau menggambar , Belanja online/offline, Travelling",Self Wear
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,edukasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Bermain musik, Belanja online/offline, Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan, Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Olahraga, Travelling","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Seni,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
"Perlengkapan Seni/Kreatif, Alat Musik, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Self Wear
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Bermain musik, Bermain game (offline/online)","Kesehatan dan Kecantikan, Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Buku Anak, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah , Travelling",edukasi
Buku Non-Fiksi,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah","Alat Musik & kesenian, Alat Olahraga, Kesehatan dan Kecantikan"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Belanja online/offline, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain musik",edukasi
"Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Belanja online/offline",Self Wear
"Perlengkapan Kantor atau Sekolah, Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi",Daily needs
Buku Anak,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Aktivitas Rekreasional,edukasi
Alat Seni,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Olahraga","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Anak,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain game (offline/online)",Self Wear
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Olahraga, Melukis atau menggambar","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Mainan"
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online)",Self Wear
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah, Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain musik, Travelling, Bermain game (offline/online)","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Alat Olahraga"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Olahraga","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Membaca buku atau majalah , Travelling, Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Musik & kesenian"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah",Literasi,Alat Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Travelling","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Olahraga, Menulis (diari, blog, atau lainnya)",edukasi
"Mainan/Collectible item, Alat Olahraga, Novel Fiksi",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online), Travelling, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
Edukasi,Website Gramedia.com,Hiburan atau relaksasi,Literasi,"Alat Musik & kesenian, Alat Olahraga"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Menulis (diari, blog, atau lainnya), Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Website Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Musik",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Olahraga","Alat Musik & kesenian, Mainan"
"Alat Musik, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
Sport & mainanan,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online), Menghadiri acara budaya atau edukasi",edukasi
