Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Edukasi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Self Wear,Netral,Sangat Setuju,Netral,Netral
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Komik,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,edukasi,Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Edukasi; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Lifestyle; Literasi; Seni,Alat Seni; Self Wear,Netral,Setuju,Netral,Netral
Alat Seni; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Seni,Daily needs,Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Alat Seni; Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Komik,Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Novel Fiksi,Website Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Setuju,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
Edukasi; Komik,Toko Gramedia,Hiburan atau relaksasi,Lifestyle; Literasi; Seni,Daily needs,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Self Wear,Setuju,Setuju,Setuju,Netral
Edukasi,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan,Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
Alat Kantor/Sekolah,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,Hiburan atau relaksasi; Menambah pengetahuan,Literasi; Seni,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Literasi; Seni,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Literasi,Alat Seni; Daily needs,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju
Komik,Website Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Self Wear; edukasi,Setuju,Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Novel Fiksi; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs; Self Wear,Netral,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Daily needs; edukasi,Netral,Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Buku Anak; Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Seni; Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle; Seni,Alat Seni; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Buku Anak,Website Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs; Self Wear,Netral,Setuju,Sangat Setuju,Netral
Alat Seni; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Menambah pengetahuan,Seni,edukasi,Setuju,Setuju,Tidak Setuju,Netral
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Sangat Setuju,Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs; edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Komik,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Setuju
Alat Seni; Buku Non-Fiksi,Website Gramedia.com,Kado atau hadiah,Lifestyle; Literasi,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi; Seni,Alat Seni; Daily needs,Sangat Setuju,Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Setuju,Setuju
Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Seni; Edukasi; Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; Daily needs; edukasi,Sangat Tidak Setuju,Setuju,Sangat Setuju,Netral
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju
Edukasi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi; Seni,Alat Seni; Daily needs; edukasi,Tidak Setuju,Netral,Setuju,Netral
Alat Kantor/Sekolah; Alat Seni,Toko buku independen lainnya,"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Lifestyle; Seni,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Edukasi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Seni; Edukasi,Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak; Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Lifestyle; Seni,Daily needs; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
Alat Seni; Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,Alat Seni; edukasi,Netral,Tidak Setuju,Setuju,Setuju
Buku Non-Fiksi; Sport & mainanan,Toko alat tulis lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle,edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Website Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear,Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Novel Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle,edukasi,Sangat Tidak Setuju,Netral,Netral,Setuju
Alat Kantor/Sekolah; Komik; Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear,Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,Daily needs,Tidak Setuju,Setuju,Netral,Netral
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni; Daily needs; edukasi,Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Self Wear; edukasi,Netral,Setuju,Netral,Setuju
Buku Non-Fiksi; Komik; Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional,Alat Seni,Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Seni; Edukasi,Toko alat tulis lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Netral,Setuju,Sangat Setuju,Sangat Setuju
Komik; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Sangat Tidak Setuju,Netral,Setuju,Netral
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Literasi; Seni,Alat Seni; Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
Novel Fiksi; Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Daily needs; edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi; Komik,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional; Seni,Alat Seni; edukasi,Netral,Tidak Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Alat Seni; Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Edukasi,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni,Sangat Setuju,Sangat Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Buku Anak; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Daily needs; Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko alat tulis lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Alat Seni; Self Wear,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak,Aplikasi Gramedia.com,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Alat Seni; Self Wear,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,edukasi,Setuju,Netral,Netral,Setuju
Komik; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional; Seni,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Anak; Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle,Alat Seni; Daily needs; edukasi,Netral,Setuju,Setuju,Setuju
Alat Seni; Edukasi,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Buku Anak; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Setuju,Netral,Netral,Netral
Alat Kantor/Sekolah; Buku Anak; Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Self Wear,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi,Netral,Tidak Setuju,Netral,Sangat Setuju
Buku Non-Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; Self Wear,Netral,Tidak Setuju,Netral,Tidak Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; Self Wear,Sangat Setuju,Netral,Sangat Setuju,Netral
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Alat Seni,Sangat Setuju,Sangat Setuju,Netral,Netral
Alat Kantor/Sekolah; Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Sport & mainanan,Toko Gramedia,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Daily needs,Sangat Setuju,Netral,Tidak Setuju,Setuju
Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah,Lifestyle; Literasi; Seni,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Komik; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Seni,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Seni; Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear; edukasi,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Lifestyle; Seni,Daily needs; Self Wear,Netral,Sangat Setuju,Netral,Tidak Setuju
Edukasi; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear; edukasi,Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Edukasi; Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan,Lifestyle,Daily needs; Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Daily needs,Sangat Tidak Setuju,Setuju,Setuju,Setuju
Buku Anak; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,edukasi,Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs,Tidak Setuju,Netral,Setuju,Netral
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Edukasi,Toko alat tulis lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Setuju,Netral,Setuju,Setuju
Alat Kantor/Sekolah; Buku Anak; Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Setuju,Netral
Alat Seni,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs; edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Seni; Edukasi; Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Literasi,Alat Seni; Self Wear,Setuju,Netral,Netral,Tidak Setuju
