ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
373,Buku Anak,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,edukasi,Tidak Setuju,Netral,Setuju,Setuju
374,Alat Kantor/Sekolah,Toko alat tulis lainnya,Menambah pengetahuan,Lifestyle,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju
375,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Tidak Setuju
376,Edukasi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
377,Alat Kantor/Sekolah,Toko buku independen lainnya,Menambah pengetahuan,Lifestyle,edukasi,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju
378,Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Netral,Tidak Setuju,Netral,Netral
379,Buku Anak,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Setuju
380,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
381,Alat Kantor/Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
382,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
383,Alat Kantor/Sekolah,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Setuju,Netral,Setuju,Netral
384,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Setuju,Sangat Tidak Setuju,Setuju
385,Alat Seni,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Netral,Setuju,Netral
386,Alat Seni,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
387,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Lifestyle,edukasi,Setuju,Tidak Setuju,Netral,Netral
388,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju
389,Edukasi,Toko buku independen lainnya,Hiburan atau relaksasi,Lifestyle,Self Wear,Setuju,Sangat Setuju,Setuju,Setuju
390,Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
391,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
392,Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Lifestyle,edukasi,Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
393,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
394,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Netral,Netral,Setuju
395,Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
396,Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Seni,edukasi,Netral,Netral,Netral,Netral
397,Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
398,Alat Seni,Toko Gramedia,Menambah pengetahuan,Lifestyle,Self Wear,Netral,Netral,Setuju,Setuju
399,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Netral,Sangat Setuju,Netral,Setuju
400,Buku Non-Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
401,Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
402,Alat Seni,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Netral,Setuju,Netral,Netral
403,Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
404,Buku Non-Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,Literasi,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
405,Buku Anak,Toko alat tulis lainnya,Menambah pengetahuan,Literasi,edukasi,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju
406,Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
407,Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
408,Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
409,Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
410,Edukasi,Aplikasi Gramedia.com,Kado atau hadiah,Seni,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
411,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Setuju,Netral,Netral,Tidak Setuju
412,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
413,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
414,Edukasi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Daily needs,Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju
415,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Setuju,Setuju
416,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
417,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
418,Alat Seni,Toko Gramedia,Kado atau hadiah,Lifestyle,Self Wear,Sangat Tidak Setuju,Netral,Sangat Setuju,Setuju
419,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Literasi,edukasi,Setuju,Tidak Setuju,Setuju,Netral
420,Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,edukasi,Netral,Netral,Setuju,Tidak Setuju
421,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
422,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Literasi,Alat Seni,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
423,Alat Kantor/Sekolah,Toko alat tulis lainnya,Menambah pengetahuan,Lifestyle,Self Wear,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
424,Buku Anak,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
425,Alat Seni,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
426,Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
427,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Menambah pengetahuan,Lifestyle,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
428,Alat Seni,Toko Gramedia,Hiburan atau relaksasi,Seni,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
429,Buku Anak,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
430,Buku Non-Fiksi,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
431,Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,Lifestyle,Self Wear,Netral,Sangat Setuju,Setuju,Sangat Setuju
432,Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Setuju,Setuju,Sangat Tidak Setuju,Netral
433,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Daily needs,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
434,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Setuju,Netral,Sangat Setuju,Sangat Setuju
435,Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
436,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
437,Edukasi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Netral,Setuju,Setuju,Setuju
438,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Netral,Netral,Netral
439,Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Sangat Setuju,Setuju,Setuju,Setuju
440,Edukasi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
441,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju
442,Sport & mainanan,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Netral,Setuju,Tidak Setuju,Tidak Setuju
443,Buku Non-Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Setuju,Sangat Setuju,Setuju,Tidak Setuju
444,Buku Anak,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Netral,Netral,Netral
445,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Literasi,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
446,Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Netral
447,Alat Seni,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Netral,Netral
448,Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
449,Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
450,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Setuju,Sangat Tidak Setuju,Setuju,Netral
451,Alat Seni,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Netral,Tidak Setuju,Sangat Tidak Setuju,Netral
452,Buku Non-Fiksi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Setuju,Setuju,Tidak Setuju,Netral
453,Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Seni,edukasi,Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
454,Edukasi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
455,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
456,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
457,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Literasi,edukasi,Setuju,Tidak Setuju,Tidak Setuju,Netral
458,Edukasi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Netral,Netral,Setuju,Sangat Setuju
459,Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Netral,Sangat Setuju,Sangat Tidak Setuju
460,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
461,Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Setuju,Sangat Setuju,Netral,Netral
462,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Netral,Tidak Setuju,Setuju,Setuju
463,Novel Fiksi,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Netral,Setuju
464,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
465,Komik,Toko Gramedia,Hiburan atau relaksasi,Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
466,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
467,Alat Kantor/Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Netral,Netral,Tidak Setuju,Sangat Setuju
468,Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
469,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
470,Buku Non-Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju
471,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
472,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Lifestyle,Self Wear,Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
473,Komik,Toko Gramedia,Kado atau hadiah,Lifestyle,Daily needs,Setuju,Netral,Tidak Setuju,Sangat Setuju
474,Komik,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Netral,Setuju,Netral
475,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
476,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
477,Edukasi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
478,Buku Anak,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
479,Edukasi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
480,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Setuju,Sangat Setuju,Sangat Setuju
481,Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
482,Komik,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
483,Novel Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
484,Novel Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
485,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Self Wear,Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
486,Buku Non-Fiksi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Netral,Setuju,Sangat Setuju,Netral
487,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
488,Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
489,Komik,Toko alat tulis lainnya,Menambah pengetahuan,Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
490,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Setuju,Sangat Tidak Setuju,Netral
491,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
492,Alat Kantor/Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
493,Alat Seni,Aplikasi Gramedia.com,Kado atau hadiah,Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
494,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
495,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Setuju
496,Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
497,Edukasi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
498,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Literasi,Alat Seni,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
499,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Literasi,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
500,Alat Kantor/Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
501,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Literasi,Alat Seni,Setuju,Tidak Setuju,Netral,Tidak Setuju
502,Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Daily needs,Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju
503,Komik,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Lifestyle,Self Wear,Setuju,Tidak Setuju,Netral,Tidak Setuju
504,Alat Seni,Toko Gramedia,Kado atau hadiah,Seni,Self Wear,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
505,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Seni,Daily needs,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
506,Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
507,Alat Seni,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
508,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
509,Alat Kantor/Sekolah,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju
510,Buku Non-Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Setuju,Setuju,Sangat Tidak Setuju,Setuju
511,Buku Non-Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
512,Alat Kantor/Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
513,Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Lifestyle,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Setuju,Setuju
514,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
515,Alat Seni,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
516,Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan,Lifestyle,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
517,Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
518,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Setuju,Sangat Setuju,Tidak Setuju,Netral
519,Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
520,Buku Non-Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
