ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
279,Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Alat Olahraga,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
280,Alat Olahraga,Aplikasi Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Mainan,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
281,Jurnal/Perencana (Planner),Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Travelling,Kesehatan dan Kecantikan,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
282,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju
283,Alat Olahraga,Toko Gramedia,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Tidak Setuju,Setuju,Sangat Setuju,Netral
284,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Mainan,Netral,Setuju,Setuju,Tidak Setuju
285,Alat Olahraga,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
286,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
287,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,Alat Olahraga,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
288,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
289,Komik/Novel Grafis,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Sangat Setuju,Netral
290,Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,Alat Tulis kantor atau sekolah,Setuju,Tidak Setuju,Netral,Setuju
291,Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Olahraga,Alat Olahraga,Tidak Setuju,Setuju,Tidak Setuju,Netral
292,Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Netral,Netral
293,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
294,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Musik & kesenian,Netral,Sangat Tidak Setuju,Netral,Tidak Setuju
295,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Bermain musik,Kesehatan dan Kecantikan,Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
296,Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Netral,Sangat Setuju
297,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Membaca buku atau majalah,Alat Musik & kesenian,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
298,Buku Anak,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Tidak Setuju,Setuju
299,Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Netral,Setuju
300,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Tidak Setuju,Setuju
301,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi,Membaca buku atau majalah,Kesehatan dan Kecantikan,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
302,Buku Anak,Toko Gramedia,Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
303,Alat Olahraga,Toko buku independen lainnya,Menambah pengetahuan,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Netral,Setuju,Setuju
304,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Menambah pengetahuan,Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
305,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Mainan,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
306,Alat Olahraga,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Netral,Netral
307,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)",Netral,Setuju,Setuju,Sangat Tidak Setuju
308,Buku Anak,Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik,Alat Musik & kesenian,Netral,Setuju,Setuju,Netral
309,Perlengkapan Seni/Kreatif,Toko Gramedia,Kado atau hadiah,Belanja online/offline,Alat Olahraga,Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
310,Buku Anak,Toko Gramedia,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
311,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Belanja online/offline,Mainan,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
312,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
313,Mainan/Collectible item,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
314,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
315,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Mainan,Tidak Setuju,Sangat Setuju,Setuju,Setuju
316,Jurnal/Perencana (Planner),Toko Gramedia,Kado atau hadiah,Melukis atau menggambar,Alat Tulis kantor atau sekolah,Netral,Setuju,Sangat Setuju,Netral
317,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
318,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
319,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Netral,Tidak Setuju
320,Alat Musik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
321,Novel Fiksi,Toko Gramedia,Untuk mengekspresikan kreativitas,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Netral,Tidak Setuju
322,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Alat Olahraga,Netral,Netral,Netral,Sangat Tidak Setuju
323,Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
324,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Travelling,Mainan,Sangat Tidak Setuju,Netral,Netral,Netral
325,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Olahraga,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
326,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
327,Alat Musik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Setuju,Netral
328,Alat Olahraga,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Setuju,Tidak Setuju
329,Buku Anak,Toko alat tulis lainnya,Menambah pengetahuan,Membaca buku atau majalah,Kesehatan dan Kecantikan,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
330,Buku Anak,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
331,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
332,Komik/Novel Grafis,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Tidak Setuju,Netral,Netral
333,Komik/Novel Grafis,Toko alat tulis lainnya,Kado atau hadiah,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju
334,Komik/Novel Grafis,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
335,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Setuju,Netral
336,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
337,Perlengkapan Kantor atau Sekolah,Toko Gramedia,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Netral,Netral
338,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
339,Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)",Mainan,Setuju,Sangat Setuju,Tidak Setuju,Netral
340,Alat Musik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Alat Olahraga,Sangat Setuju,Sangat Setuju,Setuju,Tidak Setuju
341,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
342,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
343,Buku Anak,Aplikasi Gramedia.com,Menambah pengetahuan,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
344,Mainan/Collectible item,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Setuju,Setuju,Setuju,Tidak Setuju
345,Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
346,Novel Fiksi,Website Gramedia.com,Kado atau hadiah,Melukis atau menggambar,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
347,Mainan/Collectible item,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Olahraga,Setuju,Tidak Setuju,Setuju,Tidak Setuju
348,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
349,Mainan/Collectible item,Toko Gramedia,Menambah pengetahuan,Menghadiri acara budaya atau edukasi,Alat Olahraga,Sangat Tidak Setuju,Netral,Netral,Netral
350,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Hiburan atau relaksasi,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Setuju,Sangat Setuju,Setuju
351,Alat Musik,Website Gramedia.com,Menambah pengetahuan,Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Setuju,Sangat Setuju
352,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
353,Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
354,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Olahraga,Sangat Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
355,Mainan/Collectible item,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Musik & kesenian,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
356,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Sangat Setuju,Setuju
357,Buku Anak,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Travelling,Alat Musik & kesenian,Netral,Netral,Sangat Setuju,Sangat Tidak Setuju
358,Alat Musik,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
359,Novel Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
360,Alat Musik,Toko Gramedia,Menambah pengetahuan,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Netral,Netral
361,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Olahraga,Alat Olahraga,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
362,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Setuju,Setuju
363,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
364,Jurnal/Perencana (Planner),Website Gramedia.com,Menambah pengetahuan,Olahraga,Alat Tulis kantor atau sekolah,Netral,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
365,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Setuju,Tidak Setuju,Netral
366,Novel Fiksi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Alat Olahraga,Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
367,Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
368,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Kesehatan dan Kecantikan,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
369,Alat Musik,Aplikasi Gramedia.com,Hiburan atau relaksasi,Bermain musik,Alat Olahraga,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
370,Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Alat Musik & kesenian,Netral,Sangat Setuju,Setuju,Setuju
371,Mainan/Collectible item,Website Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
372,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
373,Buku Anak,Toko Gramedia,Hiburan atau relaksasi,Travelling,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Netral,Setuju,Setuju
374,Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Menambah pengetahuan,Belanja online/offline,Mainan,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju
375,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Olahraga,Sangat Setuju,Tidak Setuju,Netral,Tidak Setuju
376,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
377,Jurnal/Perencana (Planner),Toko buku independen lainnya,Menambah pengetahuan,Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Netral,Sangat Tidak Setuju
378,Alat Musik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Kesehatan dan Kecantikan,Netral,Tidak Setuju,Netral,Netral
379,Buku Anak,Toko Gramedia,Untuk mengekspresikan kreativitas,Bermain game (offline/online),Mainan,Sangat Tidak Setuju,Netral,Setuju,Setuju
380,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Mainan,Sangat Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
381,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
382,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
383,Jurnal/Perencana (Planner),Toko alat tulis lainnya,Kado atau hadiah,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Setuju,Netral,Setuju,Netral
384,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Sangat Tidak Setuju,Setuju
385,Alat Musik,Toko buku independen lainnya,Hiburan atau relaksasi,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Setuju,Netral
386,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
387,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Netral,Netral
388,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Olahraga,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju
389,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Hiburan atau relaksasi,Travelling,Kesehatan dan Kecantikan,Setuju,Sangat Setuju,Setuju,Setuju
390,Perlengkapan Kantor atau Sekolah,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
391,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Mainan,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
392,Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
393,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
394,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Netral,Setuju
395,Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
396,Alat Musik,Website Gramedia.com,Hiburan atau relaksasi,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Netral,Netral
397,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Kesehatan dan Kecantikan,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
398,Perlengkapan Seni/Kreatif,Toko Gramedia,Menambah pengetahuan,Belanja online/offline,Kesehatan dan Kecantikan,Netral,Netral,Setuju,Setuju
