Produk sering beli,Saluran belanja,Motivasi utama pembelian
Novel Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi
"Alat Musik, Perlengkapan Seni/Kreatif","Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Toko Gramedia","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Alat Musik",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Alat Olahraga,"Toko alat tulis lainnya, Website Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
"Novel Fiksi, Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Aplikasi Gramedia.com,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi","Toko Gramedia, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko alat tulis lainnya","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
Novel Fiksi,"Toko alat tulis lainnya, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Olahraga",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Toko Gramedia, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi"
"Mainan/Collectible item, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
Perlengkapan Kantor atau Sekolah,"Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
Jurnal/Perencana (Planner),"Website Gramedia.com, Toko Gramedia",Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Novel Fiksi, Alat Musik",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Olahraga","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Website Gramedia.com","Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah","Toko Gramedia, Aplikasi Gramedia.com","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Alat Musik","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Toko buku independen lainnya, Toko Gramedia",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)",Sebagai bentuk 'self-reward' atau apresiasi diri
Perlengkapan Seni/Kreatif,"Toko alat tulis lainnya, Website Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Alat Olahraga, Buku Anak, Jurnal/Perencana (Planner)","Toko Gramedia, Aplikasi Gramedia Digital (ebook)",Untuk mengekspresikan kreativitas
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Toko alat tulis lainnya, Website Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)","Website Gramedia.com, Toko buku independen lainnya, Toko Gramedia","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Website Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Alat Musik",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Alat Musik, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko Gramedia","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Website Gramedia.com, Aplikasi Gramedia.com, Toko alat tulis lainnya","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,"Toko alat tulis lainnya, Toko Gramedia","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Anak, Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Toko alat tulis lainnya, Toko Gramedia","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Hiburan atau relaksasi"
Buku Anak,"Toko Gramedia, Toko alat tulis lainnya, Toko buku independen lainnya",Menambah pengetahuan
Perlengkapan Seni/Kreatif,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Kado atau hadiah"
Alat Olahraga,Website Gramedia.com,Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Aplikasi Gramedia.com, Toko alat tulis lainnya, Toko Gramedia","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Buku Anak,"Toko Gramedia, Website Gramedia.com, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Toko Gramedia, Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Aplikasi Gramedia.com",Hiburan atau relaksasi
"Mainan/Collectible item, Alat Olahraga, Novel Fiksi","Aplikasi Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Toko Gramedia, Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Hiburan atau relaksasi
Jurnal/Perencana (Planner),"Toko alat tulis lainnya, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Buku Anak, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Website Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Mainan/Collectible item,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
Buku Anak,"Aplikasi Gramedia.com, Toko buku independen lainnya, Toko Gramedia","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Toko Gramedia, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
Jurnal/Perencana (Planner),"Toko alat tulis lainnya, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko Gramedia, Website Gramedia.com","Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan"
Alat Musik,"Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Hiburan atau relaksasi, Menambah pengetahuan"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Buku Anak, Novel Fiksi","Aplikasi Gramedia.com, Toko Gramedia, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Toko Gramedia",Menambah pengetahuan
"Komik/Novel Grafis, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook), Toko Gramedia","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Toko alat tulis lainnya, Aplikasi Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Toko alat tulis lainnya, Aplikasi Gramedia.com","Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
"Alat Olahraga, Buku Anak","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)",Hiburan atau relaksasi
"Alat Musik, Buku Anak, Jurnal/Perencana (Planner)","Website Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Novel Fiksi, Alat Musik, Perlengkapan Seni/Kreatif","Toko Gramedia, Website Gramedia.com, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Mainan/Collectible item,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Perlengkapan Kantor atau Sekolah,"Toko alat tulis lainnya, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Menambah pengetahuan
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia.com, Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Toko Gramedia",Kado atau hadiah
Perlengkapan Seni/Kreatif,"Website Gramedia.com, Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)","Toko Gramedia, Toko buku independen lainnya, Aplikasi Gramedia.com","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Alat Musik","Toko alat tulis lainnya, Website Gramedia.com","Kado atau hadiah, Hiburan atau relaksasi"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas
"Buku Anak, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Kado atau hadiah
Alat Musik,"Website Gramedia.com, Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Novel Fiksi",Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Jurnal/Perencana (Planner),Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Komik/Novel Grafis",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Toko buku independen lainnya, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,"Aplikasi Gramedia.com, Toko Gramedia, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Novel Fiksi","Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Toko Gramedia",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko Gramedia, Toko alat tulis lainnya",Menambah pengetahuan
Alat Tulis Umum (Kantor/Sekolah),"Toko Gramedia, Website Gramedia.com",Hiburan atau relaksasi
