Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Hiburan atau relaksasi,Travelling
"Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Bermain game (offline/online)"
"Alat Musik, Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Kado atau hadiah,"Membaca buku atau majalah , Travelling, Olahraga"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Olahraga, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah","Membaca buku atau majalah , Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga"
Komik/Novel Grafis,Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling, Bermain musik"
Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar , Belanja online/offline, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Bermain game (offline/online)
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Travelling, Membaca buku atau majalah "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah 
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Mainan/Collectible item, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Membaca buku atau majalah "
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi
"Mainan/Collectible item, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Buku Anak, Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Travelling, Menghadiri acara budaya atau edukasi"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Belanja online/offline"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain musik, Bermain game (offline/online), Travelling"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah , Belanja online/offline"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Membaca buku atau majalah "
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Menulis (diari, blog, atau lainnya), Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Olahraga",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Bermain game (offline/online), Bermain musik"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Hiburan atau relaksasi,"Membaca buku atau majalah , Olahraga, Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Belanja online/offline"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Alat Musik",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar "
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Bermain game (offline/online)
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Membaca buku atau majalah , Olahraga"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Melukis atau menggambar , Membaca buku atau majalah "
"Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain game (offline/online), Membaca buku atau majalah , Melukis atau menggambar "
"Alat Olahraga, Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Melukis atau menggambar "
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Melukis atau menggambar "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online)
Alat Olahraga,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Membaca buku atau majalah "
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Melukis atau menggambar , Bermain game (offline/online)"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Melukis atau menggambar , Belanja online/offline, Travelling"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,Bermain game (offline/online)
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Bermain musik, Belanja online/offline, Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Olahraga, Travelling"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Melukis atau menggambar 
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling"
"Perlengkapan Seni/Kreatif, Alat Musik, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Bermain musik, Bermain game (offline/online)"
"Buku Anak, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah , Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Belanja online/offline, Bermain game (offline/online)"
Alat Olahraga,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain musik"
"Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Belanja online/offline"
"Perlengkapan Kantor atau Sekolah, Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Bermain game (offline/online)
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Olahraga"
Buku Anak,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Olahraga, Melukis atau menggambar "
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Belanja online/offline, Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain musik, Travelling, Bermain game (offline/online)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Olahraga"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Membaca buku atau majalah , Travelling, Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah",Membaca buku atau majalah 
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Olahraga, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Alat Olahraga, Novel Fiksi",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online), Travelling, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah 
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Menulis (diari, blog, atau lainnya), Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Website Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Musik",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Olahraga"
"Alat Musik, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online)
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online), Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Olahraga, Bermain game (offline/online)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah "
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Melukis atau menggambar "
"Alat Olahraga, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline"
"Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi
Buku Anak,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Melukis atau menggambar 
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain musik, Bermain game (offline/online)"
"Komik/Novel Grafis, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Belanja online/offline, Olahraga"
"Komik/Novel Grafis, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain game (offline/online), Belanja online/offline, Membaca buku atau majalah "
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Membaca buku atau majalah "
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Alat Olahraga, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Olahraga"
"Alat Musik, Buku Anak, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Membaca buku atau majalah , Belanja online/offline"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Travelling"
"Novel Fiksi, Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Bermain musik, Membaca buku atau majalah "
"Buku Anak, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi,"Belanja online/offline, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Toko alat tulis lainnya,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Travelling, Olahraga, Melukis atau menggambar "
"Perlengkapan Kantor atau Sekolah, Novel Fiksi, Buku Anak",Website Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Membaca buku atau majalah "
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online)"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Belanja online/offline"
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar "
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,"Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Olahraga"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Bermain game (offline/online)
"Alat Musik, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Olahraga"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan,"Olahraga, Belanja online/offline, Membaca buku atau majalah "
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Bermain musik, Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah",Bermain musik
"Mainan/Collectible item, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain game (offline/online), Belanja online/offline, Travelling"
Alat Musik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Travelling"
"Novel Fiksi, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Olahraga"
"Alat Musik, Novel Fiksi",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Travelling"
